State,Program,Eligible,10-year NPV,9/5 model math summary,9/5 internal notes,"Model math summary, late August",Late August internal notes and next steps,10/6/2020 next steps,10/12/2020 Notes,Benefit years,Carryforward years,Eligible taxes to abate,Discretionary level (H-M-L),Discretionary notes,Notes,Program description blurb for ppt,Incentives type,Incentives category,State-program
Idaho,Large employer property tax cap,No,$0,"Top-line: If Yes, 100% property tax abatement on capex over $400M. So, capex (CONFIRM full or qualified capex) less $400M threshold divided by capex equals percentage. Percentage times property tax bill

Requirements: 
- Min 1500 jobs in single county. Assume jobs are in single county and use regular jobs figure to calculate yes/no
- Min annual capex of $25M. I assume No for now",,"Top-line: If Yes, 0% (WHY?) abatement of property taxes","- Why did I not include minimum annual capex? The ""annual"" piece.Revisit
- Why is math to apply to total capex 0%?",,,Within year,n/a - exemption,,Low,Criteria-driven,,"Businesses that employ at least 1,500 people within an Idaho county may receive a property tax exemption on property values in excess of $800 million. To qualify, the business must make a yearly capital investment of at least $25 million within that county. (City of Nampa, ID)",3. Exemption,Tax exemptions,Idaho_Large employer property tax cap
Illinois,Economic Development for a Growing Economy (EDGE),Yes,"$511,881","Top-line: If Yes, sum Benefit 1 and Benefit 2
Benefit 1 Share of payroll tax: 50% share of withholding tax * withholding tax of 4.95% * FTEs * average salary for 10 years. Note, if underserved census tract, benefit can be 75% not 50% but see note below
Benefit 2: Training reimbursements: Good Jobs First data from 2016 average grant per FTE of $2,194 * 10% max benefit * FTEs for 1 year

Note
- I assumed ""Yes"" for worldwide employee thresholds >100
- I used county data as proxy for census tract for now; and only poverty rate definition. 4 definitions of underserved: 
1) Poverty rate at least 20%
2) 75% or more of the kids in are on free/reduced lunch
3) At leas 20% of households on SNAP
4) Unemployment rate 120% or more of national unemployment average for 2 years (I only did 1 year in model)","* Withholding rate of 4.95%. https://www2.illinois.gov/rev/research/taxrates/Pages/income.aspx

* Check caps and carryforwards. http://www.gredf.org/wp-content/uploads/Illinois-EDGE-Tax-Credits1.pdf","Top-line: If Yes, sum Benefit 1 and Benefit 2
Benefit 1 Share of payroll tax: 50% share of withholding tax * withholding tax * FTEs * average salary
Benefit 2: Training reimbursements: Good Jobs First data from 2016 average grant per FTE * FTEs for 1 year","- Confirm benefit years
- Check requirements for ""underserved"" area",,* Double check underserved area work,10 years,The non-refundable income tax credit is equal to 50% of the income tax withholdings of new job created in the state. This percentage increases to 75% if the business expansion project is located in an “underserved area ,Against corporate income taxes,Medium,Application but seems criteria-based with defined benefits,,"Illinois’ EDGE program provides annual corporate tax credits to qualifying businesses which support job creation, capital investment and improve the standard of living for all Illinois residents. (Illinois Department of Commerce and Economic Opportunity).",4. Credit: Carryforward,Job tax credits,Illinois_Economic Development for a Growing Economy (EDGE)
Illinois,"Blue Collar Jobs Act (Beginning Jan 1st, 2021)",No,$0,"Not integrated yet (says beginning Jan 1, 2021)","* build out later. I think it's similar to the construction employment tax credit that I modeled for the Data Center Tax Exemption (but did not integrate; 20% benefit on construction wages * construction wages)

https://repkeithwheeler.com/2019/06/01/blue-collar-jobs-act-set-to-become-law/","Not integrated yet (says beginning Jan 1, 2021)",Killed,,,Not integrated yet,Not integrated yet,Not integrated yet,Not integrated yet,Not integrated yet,Not integrated yet,Not integrated yet,n/a,Not integrated yet,"Illinois_Blue Collar Jobs Act (Beginning Jan 1st, 2021)"
Illinois,High Impact Business Program (HIB),No,$0,"Top-line: Sum of 5 benefits: 
Benefit 1: Sales tax exemption. Sales tax rate * purchases of materials (one-time) and M&E (ongonig). 
Benefit 2: Investment tax credit. 0.5% credit * qualified capex (building materials and M&E)
Benefit 3: Retailers occupation tax on building materials. Not integrated
Benefit 4: State utility tax for electricity and natural gas. Not integrated
Benefit 5: Commerce Commission exemptions. Not integrated","* Code on ITC of 0.5%. https://www.ilga.gov/commission/jcar/admincode/014/014005200H08000R.html

* Code on sales tax exemption. Technically, just refund the 6.5% state sales tax not all 9.08% https://www.ilga.gov/commission/jcar/admincode/086/086001300S19520R.html

* Additional details from code for EZ and HIB, including definition of qualified capex https://www.ilga.gov/commission/jcar/admincode/014/01400520sections.html

* Code defining qualified property (buildings + M&E). https://www.ilga.gov/legislation/ilcs/ilcs4.asp?DocName=003500050HArt%2E+2&ActID=577&ChapterID=8&SeqStart=600000&SeqEnd=3100000

*** Probably need to read back through all instances of capex requirements to make sure I use appropriate definitions ***


","Top-line: Sum of 5 benefits: [TAX EXEMPTION WORK]
Benefit 1: Sales tax exemption M&E. 
Benefit 2: Investment tax credit
Benefit 3: Retailers occupation tax on building materials
Benefit 4: State utility tax for electricity and natural gas
Benefit 5: Commerce Commission exemptions","- Update structure and MME shares of capex
- Update sales tax figures
- Confirm I did NOT include EZ information in the math (I had an EZ source in the section)",,,Assume sales tax exemption ongoing; ITC one year with carryforward,"ITC - for tax years ending after December 31, 1988, the credit shall be allowed for the tax year in which the property is placed in service, or, if the amount of the credit exceeds the tax liability for that year, whether it exceeds the original liability or the liability as later amended, such excess may be carried forward and applied to the tax liability of the 5 taxable years following the excess credit years. ",,Medium,Application process,,"The program supports large-scale economic development activities by providing tax incentives (similar to Enterprise Zones) to companies that make substantial capital investments in operations and create or retain an above average number of jobs. Businesses may qualify for: investment tax credits, a state sales tax exemption on building materials and/or utilities, a state sales tax exemption on purchases of personal property used or consumed in the manufacturing process or in the operation of a pollution control facility. (Illinois Department of Commerce and Economic Opportunity).",4. Credit: Carryforward,Investment tax credits,Illinois_High Impact Business Program (HIB)
Illinois,Enterprise Zone Program,No,$0,"Top-line: If Yes, sum of 5 benefits (similar to HIB program) but I manually entered No for geographic eligibility. Will need to manually check Yes for now. 
Benefit 1: Sales tax exemption. Sales tax rate * purchases of materials (one-time) and M&E (ongonig). 
Benefit 2: Investment tax credit. 0.5% credit * qualified capex (building materials and M&E)
Benefit 3: Retailers occupation tax on building materials. Not integrated
Benefit 4: State utility tax for electricity and natural gas. Not integrated
Benefit 5: Commerce Commission exemptions. Not integrated","* See Code for explicit mentino of benefits. https://www.ilga.gov/commission/jcar/admincode/014/014005200G07000R.html

* Listing of Ezs. https://www2.illinois.gov/dceo/ExpandRelocate/Incentives/taxassistance/Documents/Current%20EZ%20Listing.pdf",Top-line: [IS IT SUPPOSED TO BE SAME AS HIGH IMPACT BUSINESS PROGRAM]?,"- Is there an additional employment credit. Review math and details
- Check sales tax math and stucture share of capex",,"Why hard coded ""Yes""? Because top-line Yes/No controls formula",Within year,n/a - tax exemptions,,Medium,Application required,,"The Illinois Enterprise Zone Program is designed to stimulate economic growth and neighborhood revitalization in economically depressed areas of the state through state and local tax incentives, regulatory relief and improved governmental services. (Illinois Department of Commerce and Economic Opportunity).",3. Exemption,Geographic credits,Illinois_Enterprise Zone Program
Illinois,Large Business Development Program (LBDP),Yes,"$724,590",Not integrated,,Not integrated,Not integrated,,,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,n/a,Not integrated yet,Illinois_Large Business Development Program (LBDP)
Illinois,Employer Training Investment Program (ETIP),No,$0,"Top-line: Average benefit ($2,194 average for traditional job training grants, see four sources) * 50% benefit * FTEs for 1 year assumed

Requirements:
- Received approval from EDGE program
- Min capex of $2.5M
- Min jobs, lesser of 50 jobs or 10% of worldwide FTEs (just used min 50 jobs)",* Program guidelines. https://www2.illinois.gov/dceo/AboutDCEO/GrantOpportunities/2081951/NOFO 2019 ETIP Incentive .docx,"Top-line: Average benefit ($2,194 average for traditional job training grants, see four sources) * FTEs for 1 year assumed","- Check Inc Monitor for average. 
- Check benefit timing",,,Within year,Reimbursement grant,,Medium,Application-based; likely funding constrained,,"The Employer Training Investment Program (ETIP) is designed to assist Illinois employers in providing training to full-time employees, which increases capacity, builds a stronger workforce, and creates a more competitive business climate in Illinois.  (Chicago Jobs Council).",1. Grant,Job training grant or credit,Illinois_Employer Training Investment Program (ETIP)
Illinois,Data Center Tax Exemption,No,$0,"Top-line: Sales tax exemption on personal property (just M&E)… sales tax rate * M&E purchases each year

Requirements
- $250M min capex (I used total capex), minimum 120% of county median wages, min 20 jbs
- If in underserved census tract, 20% bonus on construction wages. I modeled the benefit but did not turn benefit on given census tract reuqirement","* Source bill. https://www.ilga.gov/legislation/fulltext.asp?DocName=10100SB1591eng&GA=101&SessionId=108&DocTypeId=SB&LegID=118621&DocNum=1591&GAID=15&Session=

Check for carryforwards/limits

* Definition of underserved area (census tract). https://www2.illinois.gov/dceo/ExpandRelocate/Incentives/Pages/UnderservedAreas.aspx",Top-line: [TAX EXEMPTIONS WORK],"- Update sales tax 
- Update undeserved areas
- Fix share of equipment? I think I killed this part",,* Check eligibility years,20 years?,"Similar to the other credits discussed above, the Data Center Credit is also eligible for carryforward for five years",,Medium,Must apply,, The data centers investment program provides owners and operators with exemptions from a variety of state and local taxes for qualifying Illinois data centers. (Illinois Department of Commerce and Economic Opportunity).,3. Exemption,Tax exemptions,Illinois_Data Center Tax Exemption
Illinois,Property Tax Exemptions,Yes,$0,Not integrated. Did not see on state website,"* See interesting report. https://igpa.uillinois.edu/files/reports/Use%20of%20Business%20Property%20Tax%20Incentives%20in%20Cook%20County.pdf

""In 2014, almost 40 percent of all commercial or industrial parcels receiving property tax abatements were also located within a TIF district and more than 53 percent of parcels receiving abatements were located in an Enterprise Zone. The high incidence of overlap raises questions about what local governments are getting in return from twice- and thricesubsidized businesses. Because some of the programs work at cross purposes, this finding also suggests that the agencies administering the various business assistance programs in the county could improve their coordination""",Top-line: [TAX EXEMPTIONS WORK],Not integrated - not on state website,,,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,3. Exemption,Tax exemptions,Illinois_Property Tax Exemptions
Indiana,Data Center Gross Retail and Use Tax Exemption,No,$0,"Top-line: If Yes, sales and use tax rate * M&E expenses. Localities ahave option for personal property tax exemption (modeled as No but can toggle to Yes; modeled as 100% property tax bill)

Details
- Initial purchase, sales and use tax rate * M&E one-time expenses
- Ongoing, sales and use tax rate * M&E ongoing expenses

Requirements: 
- Sector and min capex req's. 
- Min capex req's based on county populations (min $25-150M)
",,Top-line: [TAX EXEMPTIONS WORK],"- Update county populations
0 Update sales tax information
- Update personal property tax exemption 
- Update MME and structure share of capex assumptions",,,Within year,n/a - sales tax exemption,,Medium,Must apply with budget,,The Data Center Gross Retail and Use Tax Exemption provides a sales and use tax exemption on purchases of qualifying data center equipment and energy to operators of a qualified data center. (Indiana Economic Development Corporation),3. Exemption,Tax exemptions,Indiana_Data Center Gross Retail and Use Tax Exemption
Indiana,Research and Development tax incentives,No,$0,"Top-line: If Yes, use alternative calculation approach. First 3 years, 5% of QREs. Then, 10% benefit of QREs - (average 3 years QREs * 50%)

Also, a sales tax exemption for purchases (if Yes, M&E and fixtures * sales tax rate in Year 0; M&E or capex purchases each year * sales tax rate)",,Top-line: [R&D tax credit work],- Check timing; structure share of capex; sales tax rates,,"* Need to tweak calculations to allow for refundable sales tax

* Check calcs again, esp. when benefits hit",Within year,Sales tax refundable; research expense credits can be carried forward 10 years. Taxpayers may file a claim for refund for sales tax paid on such a retail transaction should they not purchase it exempt from sales tax at the time of the actual transaction.  Credits awarded pursuant to the relevant statutory provisions may be carried forward for up to ten taxable years,,Low,Criteria-based,,"The state of Indiana offers two tax incentives targeted at encouraging investments in research and development. Taxpayers may receive a credit against their Indiana state income tax liability calculated as a percentage of qualified research expenses. In addition, taxpayers may be refunded sales tax paid on purchases of qualified research and development equipment. (Indiana Economic Development Corporation)",5. Credit: Refundable,R&D tax credits,Indiana_Research and Development tax incentives
Indiana,Headquarters Relocation Tax Credit (HQRTC),Yes,"$876,801","Top-line: If Yes, 50% of eligible costs (land, buildings, M&E) with max annual limit of state tax liability (corporate income, UI, sales tax) and carryforward of 9 years (incorporated). 

Requirements: 
- Min jobs 75
- Annual worldwide revenues of $50M (assumed No but can toggle to Yes)
- Sector is either corporate HQ or R&D center",,Top-line: 50% max share of tax credit * capital investment. Carryforward math,"- Change worldwide revenues assumptions.
- Check carryforward math",,* Strip out carryforward math within the calculations,Assumes one year," Yes, for up to 9 years after the year in which the credit is first claimed","based on relocation costs, including M&E, buldiings, land",,,,The Headquarters Relocation Tax Credit (HQRTC) provides a nonrefundable tax credit to a business that relocates its headquarters to Indiana. (Indiana Economic Development Corporation),4. Credit: Carryforward,Investment tax credits,Indiana_Headquarters Relocation Tax Credit (HQRTC)
Indiana,Hoosier Business Investment Tax Credit Program (HBI),Yes,"$2,500","Top-line: If Yes, give min of corporate income tax liability and benefit. Benefit is sourced from Incentives Monitor and is percent of eligible capital investment based on sector. 

* Confirm that this program's benefit is, in effect, a refund of corporate income tax for just one year (nonrefundable corporate income tax credit). 

Details
- If logistics, eligible capex is buildings and M&E. Incentives Monitor data average award as share of total capex is 4.1% [NOTE: IncMon is share of total capex; I then apply that figure to estimated eligible capex]

- If not logistics, eligible capes is just M&E. Incentives Monitor rate is 10.6%",* Source on eligible logistics investment. https://statecodesfiles.justia.com/indiana/2016/title-6/article-3.1/chapter-26/chapter-26.pdf,Top-line: Incentives per $1M in capex from Incentives Monitor / 10 yaers amortization * capex,"- Feels high but just check Inc Monitor assumptions math
- Confirm 10 year window makes sense
- Check what I multiplied… should be share of CIT",,"*** Flag that I assumed ""Yes"" to eligiblility; double-check formulas… pulling from logistics? ",One year,Nonrefundable corporate income tax credit,,Highly discretionary,No specific guidance on who is eligible,,"The Hoosier Business Investment (HBI) Tax Credit provides an incentive to businesses to support job creation, capital in-vestment and to improve the standard of living for Indiana residents. (Indiana Economic Development Corporation)",6. Credit: No carryforward,Investment tax credits,Indiana_Hoosier Business Investment Tax Credit Program (HBI)
Indiana,Economic Development for a Growing Economy Program (EDGE),Yes,"$437,892","Top-line: Limited guidance on eligibility. 100% of withholding tax rate of 3.23% for 10 years

Sanity check: Incentives Monitor award per job / 10 years * FTEs for 10 years

Note: No guidance on who is eligible",* Source on 3.23% withholding rate. https://www.in.gov/dor/business-tax/business-tax-faqs/,"Top-line: I did average of two approaches
Approach 1: 100% of withholding tax rate of 3.23% 
Approach 2: Incentives Monitor award * FTEs
Note: No guidance on who is eligible",- Find guidance on who is eligible if I can,,"*** Flag that I assumed ""Yes"" to eligibility",Up to 10 years,Refundable tax credit,,Highly discretionary,No specific guidance on who is eligible,,The Economic Development for a Growing Economy (EDGE) Tax Credit provides a refundable tax credit to businesses that create new jobs that improve the standard of living for Indiana residents. (Indiana Economic Development Corporation),5. Credit: Refundable,Job tax credits,Indiana_Economic Development for a Growing Economy Program (EDGE)
Indiana,Skills Enhancement Fund (SEF),Yes,"$69,811","Top-line: Good Jobs First average award per FTE from 2016 report * FTEs for 1 year

Note: Limited guidance on who is eligible",,"Top-line: Good Jobs First average award per FTE from 2016 report * FTEs for 1 year
Note: Limited guidance on who is eligible",- Limited guidance. Can I find more?,,,Within year,n/a - grant,,Medium,Application process but limited guidance on who is eligible,,The Skills Enhancement Fund (SEF) provides assistance to companies to support training of employees required to support business growth in Indiana. (Indiana Economic Development Corporation),1. Grant,Job training grant or credit,Indiana_Skills Enhancement Fund (SEF)
Iowa,Economic Development Set-Aside (EDSA),Yes,$0,Not integrated because of hiring requirements,,Not integrated because of hiring requirements,Not integrated because of location and hiring requirements,,,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,n/a,Not integrated,Iowa_Economic Development Set-Aside (EDSA)
Iowa,High Quality Jobs Program,No,$0,"Top-line: sum of four benefits
Benefit 1. Propety tax benefits. Assumed No because local discretion to give property tax exemption
Benefit 2. Investment tax credit. Depending on qualified capex (land, buildings, M&E) and jobs table, specific benefit rate * qualified capex amoutn amortized for 5 years
Benefit 3. Sales tax refund during construction and M&E (M&E only for distribution centers). Sales tax rate * construction materials, one-time. Sales tax rate * M&E each year
Benefit 4. R&D tax credit. Pulls from Research Activities credit section

Details
- Complicated table but not really. Essentially, two tables, one is a jobs-capex matrix for qualifying capex <$10M and the other table for qualifying capex >$10M
- Then, match up based on 1) meeting min job req's (row) and 2) meeting investment req's (column)
- The, find the investment tax rate to use. 

Note: depending on capex minimum, qualify for certain benefits (research benefits for $500K+; local property tax exemption for $10M+ but not integrated anyway)",* What is the maximum payout? ,"Top-line: sum of five benefits. COMPLICATED
Benefit 1. Propety tax benefits [UPDATE WITH TAX WORK]
Benefit 2. Investment tax credit
Benefit 3. Sales tax refund during construction [UPDATE WITH TAX WORK]
Benefit 4. R&D tax credit [R&D TAX CREDIT WORK]
Benefit 5. ","- Need to find maximum annual payout
- Check code language
- Recheck model math. Structure and MME breakdown
- Update sales tax info",,"* Double check calculations… complicated. Check two hard-coded ""Yes"" entries for requirements… I think it's ok to leave hard coded because ""yes""/""no"" formulas in the table calculations",Depends on program,"ITC credit can be carried forward for up to 7 additional years or until depleted, whichever occurs ﬁrst; others ongonig (e.g., local property tax exemption for 20 years; sales and use taxes during construction)",Multiple components,Medium,Application process but standard benefit expectations,,"The High Quality Jobs (HQJ) program provides qualifying businesses assistance to off-set some of the costs incurred to locate, expand or modernize an Iowa facility. This ﬂexible program includes loans, forgivable loans, tax credits, exemptions and/or refund. (Iowa Economic Development)",4. Credit: Carryforward,Job tax credits,Iowa_High Quality Jobs Program
